Unnamed: 0	command	Description	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
5608	du -a	How do I show the memory occupied by each file in the folders and sub-folders in /media/user/ by ignoring the folders which are of a different filesystem?					
5609	du -a	Displays the total file size of all the files in /home/user/.					
5610	du -a	How do I view the total file size of all the files in /home/user/?					
5611	du -a	View the total file size of all the files in /home/user/.					
5612	du -a	How do I show the total file size of all the files in /home/user/?					
5613	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5614	du -c	How do I check the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes?					
5615	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes.					
5616	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes?					
5617	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5618	du -c	How do I check the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes?					
5619	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes.					
5620	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes?					
5621	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes.					
5622	du -c	How do I view the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes?					
5623	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes.					
5624	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes?					
5625	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes.					
5626	du -c	How do I view the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes?					
5627	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes.					
5628	du -c	How do I check the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes?					
5629	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes.					
5630	du -c	How do I view the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes?					
5631	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Petabytes.					
5632	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Petabytes?					
5633	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Yottabytes.					
5634	du -c	How do I check the individual and cumulative memory occupied by the folder and the sub-folders\ in /home/user/ in terms of Yottabytes?					
5635	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Yottabytes.					
5636	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Yottabytes?					
5637	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Zetabytes.					
5638	du -c	How do I view the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Zetabytes?					
5639	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Zetabytes.					
5640	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Zetabytes?					
5641	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Exabytes.					
5642	du -c	How do I check memory occupied by the folder in /home/user/ in terms of Exabytes?					
5643	du -c	View the individual and cumulative memory occupied by the folder in /home/user/ in terms of Exabytes.					
5644	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Exabytes?					
5645	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5646	du -c	How do I check the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes?					
5647	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes.					
5648	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes?					
5649	du -c	Displays the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes.					
5650	du -c	How do I view the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes?					
5651	du -c	View the individual and cumulative memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes.					
5652	du -c	How do I show the individual and cumulative memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes?					
5653	du -h	Displays the memory occupied by each file in the folder and the sub-folders in /home/user/ in human readable format.					
5654	du -h	How do I check total memory occupied by the files in the folder and the sub-folder in /home/user/ in human readable format?					
5655	du -h	View the memory occupied by each file in the folder and the sub-folders in /home/user/ in human readable format.					
5656	du -h	How do I show the total memory occupied by the files in the folders and sub-folders in /home/user/ in human readable format?					
5657	du -h	Displays the memory occupied by the folders in /home/user/ in human readable format in terms of bytes ignoring the folders which have 0 bytes.					
5658	du -h	How do I check the memory occupied by the folder in /home/user/ in human readable format in terms of bytes and ignore the folders which have zero byte size?					
5659	du -h	View the memory occupied by the folder in /home/user/ in human readable format in terms of bytes. Ignore the folders which donot have any folders or files in them.					
5660	du -h	How do I show the memory occupied by the folders in /home/user/ in human readable format in terms of bytes and ignore the folders which occupy zero bytes memory?					
5661	du -h	Displays the memory occupied by the folders and sub-folders in /home/user/ in human readable format in powers of 1000.					
5662	du -h	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in human readable format in powers of 1000?					
5663	du -h	View the memory occupied by the folder and the sub-folder in /home/user/ in human readable format in powers of 1000.					
5664	du -h	How do I show the memory occupied by the folders and sub-folders in /home/user/ in human readable format in powers of 1000?					
5665	du -h	Displays the memory occupied by the folders and sub-folders in /home/user/ in human readable format by ignoring the folders having size less than 10K.					
5666	du -h	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in human readable format and ignore the folders having size less than 10K?					
5667	du -h	View the memory occupied by the folder and the sub-folder in /home/user/ in human readable format. Ignore the folders which have size less than 10K.					
5668	du -h	How do I show the memory occupied by the folders and sub-folders in /home/user/ in human readable format by ignoring the folders which have size less than 10K?					
5669	du -h	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in human readable format.					
5670	du -h	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in human readable format.					
5671	du -h	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in human readable format?					
5672	du -h	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in human readable format?					
5673	du -h	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in human readable format.					
5674	du -h	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in human readable format.					
5675	du -h	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in human readable format?					
5676	du -h	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in human readable format?					
5677	du -h	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in human readable format.					
5678	du -h	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in human readable format.					
5679	du -h	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in human readable format?					
5680	du -h	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in human readable format?					
5681	du -h	Displays the memory occupied by the folders and sub-folders in /media/user/ in human readable format by ignoring the folders of different filesystem.					
5682	du -h	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in human readable format and ignore the folders mounted from a different filesystem?					
5683	du -h	View the memory occupied by the folder and the sub-folder in /media/user/ in human readable format. Ignore the folders which are of a different filesystem.					
5684	du -h	How do I show the memory occupied by the folders and sub-folders in /media/user/ in human readable format by ignoring the folders which are of a different filesystem?					
5685	du -h	Displays the total file size of files in /home/user/ in human readable format.					
5686	du -h	How do I view the total file size of files in /home/user/ in human readable format?					
5687	du -h	View the total file size of files in /home/user/ in human readable format.					
5688	du -h	How do I show the total file size of files in /home/user/ in human readable format?					
5689	du -s	Displays the total file size of the files in in /home/user/ in terms of Gigabytes.					
5690	du -s	How do I check the total file size of the files in in /home/user/ in terms of Gigabytes?					
5691	du -s	View the total file size of the files in in /home/user/ in terms of Gigabytes.					
5692	du -s	How do I show the total file size of the files in in /home/user/ in terms of Gigabytes?					
5693	du -s	Displays the total file size of the files in in /home/user/ in terms of Kilobytes.					
5694	du -s	How do I check the total file size of the files in in /home/user/ in terms of Kilobytes?					
5695	du -s	View the total file size of the files in in /home/user/ in terms of Kilobytes.					
5696	du -s	How do I show the total file size of the files in in /home/user/ in terms of Kilobytes?					
5697	du -s	Displays the total file size of the files in in /home/user/ in terms of Megabytes.					
5698	du -s	How do I view the total file size of the files in in /home/user/ in terms of Megabytes?					
5699	du -s	View the total file size of the files in in /home/user/ in terms of Megabytes.					
5700	du -s	How do I show the total file size of the files in in /home/user/ in terms of Megabytes?					
5701	du -s	Displays the total file size of the files in in /home/user/ in terms of Terabytes.					
5702	du -s	How do I view the total file size of the files in in /home/user/ in terms of Terabytes?					
5703	du -s	View the total file size of the files in in /home/user/ in terms of Terabytes.					
5704	du -s	How do I check the total file size of the files in in /home/user/ in terms of Terabytes?					
5705	du -s	Displays the total file size of the files in in /home/user/ in terms of Petabytes.					
5706	du -s	How do I view the total file size of the files in in /home/user/ in terms of Petabytes?					
5707	du -s	View the total file size of the files in in /home/user/ in terms of Petabytes.					
5708	du -s	How do I show the total file size of the files in in /home/user/ in terms of Petabytes?					
5709	du -s	Displays the total file size of the files in in /home/user/ in terms of Yottabytes.					
5710	du -s	How do I check the total file size of the files ins\ in /home/user/ in terms of Yottabytes?					
5711	du -s	View the total file size of the files in in /home/user/ in terms of Yottabytes.					
5712	du -s	How do I show the total file size of the files in in /home/user/ in terms of Yottabytes?					
5713	du -s	Displays the total file size of the files in in /home/user/ in terms of Zetabytes.					
5714	du -s	How do I view the total file size of the files in in /home/user/ in terms of Zetabytes?					
5715	du -s	View the total file size of the files in in /home/user/ in terms of Zetabytes.					
5716	du -s	How do I show the total file size of the files in in /home/user/ in terms of Zetabytes?					
5717	du -s	Displays the total file size of the files in in /home/user/ in terms of Exabytes.					
5718	du -s	How do I check memory occupied by the folder in /home/user/ in terms of Exabytes?					
5719	du -s	View the individual and cumulative memory occupied by the folder in /home/user/ in terms of Exabytes.					
5720	du -s	How do I show the total file size of the files in in /home/user/ in terms of Exabytes?					
5721	du -s	Displays the total file size of the files in in /home/user/ in terms of Kilobytes.					
5722	du -s	How do I check the total file size of the files in in /home/user/ in terms of Kilobytes?					
5723	du -s	View the total file size of the files in in /home/user/ in terms of Kilobytes.					
5724	du -s	How do I show the total file size of the files in in /home/user/ in terms of Kilobytes?					
5725	du -s	Displays the total file size of the files in in /home/user/ in terms of Megabytes.					
5726	du -s	How do I view the total file size of the files in in /home/user/ in terms of Megabytes?					
5727	du -s	View the total file size of the files in in /home/user/ in terms of Megabytes.					
5728	du -s	How do I show the total file size of the files in in /home/user/ in terms of Megabytes?					
5729	du --inodes	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes in Human Readable Format.					
5730	du --inodes	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes in Human Readable Format?					
5731	du --inodes	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes in Human Readable Format.					
5732	du --inodes	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes in Human Readable Format?					
5733	du --inodes	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes in powers of 1000.					
5734	du --inodes	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes in powers of 1000?					
5735	du --inodes	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes in powers of 1000.					
5736	du --inodes	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes in powers of 1000?					
5737	du --inodes	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes by ignoring the folders having size less than 10K.					
5738	du --inodes	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes and ignore the folders having size less than 10K?					
5739	du --inodes	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of inodes. Ignore the folders which have size less than 10K.					
5740	du --inodes	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of inodes by ignoring the folders which have size less than 10K?					
5741	du --inodes	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5742	du --inodes	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5743	du --inodes	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of inodes?					
5744	du --inodes	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of inodes?					
5745	du --inodes	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5746	du --inodes	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5747	du --inodes	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of inodes?					
5748	du --inodes	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of inodes?					
5749	du --inodes	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5750	du --inodes	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of inodes.					
5751	du --inodes	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of inodes?					
5752	du --inodes	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of inodes?					
5753	du --inodes	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of inodes by ignoring the folders of different filesystem.					
5754	du --inodes	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of inodes and ignore the folders mounted from a different filesystem?					
5755	du --inodes	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of inodes. Ignore the folders which are of a different filesystem.					
5756	du --inodes	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of inodes by ignoring the folders which are of a different filesystem?					
5757	du --inodes	Displays the total file size of all the files in /home/user/ in terms of inodes.					
5758	du --inodes	How do I view the total file size of all the files in /home/user/ in terms of inodes?					
5759	du --inodes	View the total file size of all the files in /home/user/ in terms of inodes.					
5760	du --inodes	How do I show the total file size of all the files in /home/user/ in terms of inodes?					
5761	du -BG	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes in Human Readable Format.					
5762	du -BG	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes in Human Readable Format?					
5763	du -BG	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes in Human Readable Format.					
5764	du -BG	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes in Human Readable Format?					
5765	du -BG	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes in powers of 1000.					
5766	du -BG	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes in powers of 1000?					
5767	du -BG	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes in powers of 1000.					
5768	du -BG	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes in powers of 1000?					
5769	du -BG	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes by ignoring the folders having size less than 10K.					
5770	du -BG	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes and ignore the folders having size less than 10K?					
5771	du -BG	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Gigabytes. Ignore the folders which have size less than 10K.					
5772	du -BG	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Gigabytes by ignoring the folders which have size less than 10K?					
5773	du -BG	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5774	du -BG	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5775	du -BG	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Gigabytes?					
5776	du -BG	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes?					
5777	du -BG	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5778	du -BG	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5779	du -BG	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Gigabytes?					
5780	du -BG	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes?					
5781	du -BG	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5782	du -BG	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes.					
5783	du -BG	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of Gigabytes?					
5784	du -BG	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Gigabytes?					
5785	du -BG	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of Gigabytes by ignoring the folders of different filesystem.					
5786	du -BG	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of Gigabytes and ignore the folders mounted from a different filesystem?					
5787	du -BG	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of Gigabytes. Ignore the folders which are of a different filesystem.					
5788	du -BG	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of Gigabytes by ignoring the folders which are of a different filesystem?					
5789	du -BG	Displays the total file size of all the files in /home/user/ in terms of Gigabytes.					
5790	du -BG	How do I view the total file size of all the files in /home/user/ in terms of Gigabytes?					
5791	du -BG	View the total file size of all the files in /home/user/ in terms of Gigabytes.					
5792	du -BG	How do I show the total file size of all the files in /home/user/ in terms of Gigabytes?					
5793	du -BK	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes in Human Readable Format.					
5794	du -BK	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes in Human Readable Format?					
5795	du -BK	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes in Human Readable Format.					
5796	du -BK	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes in Human Readable Format?					
5797	du -BK	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes in powers of 1000.					
5798	du -BK	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes in powers of 1000?					
5799	du -BK	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes in powers of 1000.					
5800	du -BK	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes in powers of 1000?					
5801	du -BK	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes by ignoring the folders having size less than 10K.					
5802	du -BK	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes and ignore the folders having size less than 10K?					
5803	du -BK	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Kilobytes. Ignore the folders which have size less than 10K.					
5804	du -BK	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Kilobytes by ignoring the folders which have size less than 10K?					
5805	du -BK	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5806	du -BK	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5807	du -BK	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Kilobytes?					
5808	du -BK	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes?					
5809	du -BK	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5810	du -BK	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5811	du -BK	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Kilobytes?					
5812	du -BK	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes?					
5813	du -BK	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5814	du -BK	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes.					
5815	du -BK	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of Kilobytes?					
5816	du -BK	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Kilobytes?					
5817	du -BK	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of Kilobytes by ignoring the folders of different filesystem.					
5818	du -BK	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of Kilobytes and ignore the folders mounted from a different filesystem?					
5819	du -BK	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of Kilobytes. Ignore the folders which are of a different filesystem.					
5820	du -BK	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of Kilobytes by ignoring the folders which are of a different filesystem?					
5821	du -BK	Displays the total file size of all the files in /home/user/ in terms of Kilobytes.					
5822	du -BK	How do I view the total file size of all the files in /home/user/ in terms of Kilobytes?					
5823	du -BK	View the total file size of all the files in /home/user/ in terms of Kilobytes.					
5824	du -BK	How do I show the total file size of all the files in /home/user/ in terms of Kilobytes?					
5825	du -BM	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes in Human Readable Format.					
5826	du -BM	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes in Human Readable Format?					
5827	du -BM	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes in Human Readable Format.					
5828	du -BM	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes in Human Readable Format?					
5829	du -BM	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes in powers of 1000.					
5830	du -BM	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes in powers of 1000?					
5831	du -BM	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes in powers of 1000.					
5832	du -BM	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes in powers of 1000?					
5833	du -BM	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes by ignoring the folders having size less than 10K.					
5834	du -BM	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes and ignore the folders having size less than 10K?					
5835	du -BM	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Megabytes. Ignore the folders which have size less than 10K.					
5836	du -BM	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Megabytes by ignoring the folders which have size less than 10K?					
5837	du -BM	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5838	du -BM	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5839	du -BM	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Megabytes?					
5840	du -BM	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Megabytes?					
5841	du -BM	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5842	du -BM	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5843	du -BM	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Megabytes?					
5844	du -BM	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Megabytes?					
5845	du -BM	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5846	du -BM	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of Megabytes.					
5847	du -BM	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of Megabytes?					
5848	du -BM	How do I check the individual disk usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Megabytes?					
5849	du -BM	Displays the memory occupied by the folders and sub-folders in /media/user/ in terms of Megabytes by ignoring the folders of different filesystem.					
5850	du -BM	How do I view the memory occupied by the folder and the sub-folder in /media/user/ in terms of Megabytes and ignore the folders mounted from a different filesystem?					
5851	du -BM	View the memory occupied by the folder and the sub-folder in /media/user/ in terms of Megabytes. Ignore the folders which are of a different filesystem.					
5852	du -BM	How do I show the memory occupied by the folders and sub-folders in /media/user/ in terms of Megabytes by ignoring the folders which are of a different filesystem?					
5853	du -BM	Displays the total file size of all the files in /home/user/ in terms of Megabytes.					
5854	du -BM	How do I view the total file size of all the files in /home/user/ in terms of Megabytes?					
5855	du -BM	View the total file size of all the files in /home/user/ in terms of Megabytes.					
5856	du -BM	How do I show the total file size of all the files in /home/user/ in terms of Megabytes?					
5857	du -BT	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes in Human Readable Format.					
5858	du -BT	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes in Human Readable Format?					
5859	du -BT	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes in Human Readable Format.					
5860	du -BT	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes in Human Readable Format?					
5861	du -BT	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes in powers of 1000.					
5862	du -BT	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes in powers of 1000?					
5863	du -BT	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes in powers of 1000.					
5864	du -BT	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes in powers of 1000?					
5865	du -BT	Displays the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes by ignoring the folders having size less than 10K.					
5866	du -BT	How do I view the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes and ignore the folders having size less than 10K?					
5867	du -BT	View the memory occupied by the folder and the sub-folder in /home/user/ in terms of Terabytes. Ignore the folders which have size less than 10K.					
5868	du -BT	How do I show the memory occupied by the folders and sub-folders in /home/user/ in terms of Terabytes by ignoring the folders which have size less than 10K?					
5869	du -BT	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5870	du -BT	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5871	du -BT	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Terabytes?					
5872	du -BT	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Terabytes?					
5873	du -BT	Display memory usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5874	du -BT	Check the individual disk usage and last modified date, time of each of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5875	du -BT	How do I show the memory usage and last modified date, time of each of the files in the folder and sub-folder in /home/user/ in terms of Terabytes?					
5876	du -BT	How do I check the individual disk usage and last modified date, time of the files in the folders and sub-folders in /home/user/ in terms of Terabytes?					
5877	du -BT	Display memory usage and last modified date of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5878	du -BT	Check the individual disk usage and last modified date of each of the files in the folders and sub-folders in /home/user/ in terms of Terabytes.					
5879	du -BT	How do I show the memory usage and last modified date of each of thefiles in the folder and sub-folder in /home/user/ in terms of Terabytes?					
